latitude,longitude,altitude,geometry,coordinates,@id,addr:city,addr:city:en,addr:country,addr:postcode,amenity,building,description,name,name:en,type,wikidata,wikipedia,addr:housenumber,addr:street,addr:street:en,barrier,fax,phone,website,wheelchair,name:pl,addr:housename,operator,email,contact:website,int_name,operator:en,building:levels,name:de,name:mk
,,,Polygon,"21.4381019,42.001753,21.4376706,42.0019179,21.4374454,42.0015926,21.4378768,42.0014277,21.4379913,42.0015932,21.4381019,42.001753,21.4379213,42.0017014,21.4378242,42.0015602,21.4376321,42.0016331,21.4377292,42.0017743,21.4379213,42.0017014",relation/5360061,Cкoпje,Skopje,MK,1000,university,yes,painting academy,Сули-ан - Факултет за ликовна уметност,Faculty of Visual Arts - Suli An,multipolygon,Q3085319,mk:Сули ан,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4416599,42.0004578,21.4415547,42.0001696,21.4414296,42.0000214,21.4411093,41.9999028,21.4403693,41.9998646,21.4404854,41.9994106,21.4405397,41.9991981,21.4406215,41.9990079,21.4410005,41.9988564,21.4424577,41.9987958,21.4435925,41.9986513,21.4440414,41.9985813,21.4442184,41.9985878,21.4443766,41.9986372,21.4444906,41.9987662,21.4445721,41.9990388,21.4446207,41.999087,21.444707,41.9991727,21.4448137,41.9992309,21.4451251,41.9994007,21.4453565,41.9996033,21.4453821,41.9996057,21.4454754,42.0002663,21.4454825,42.0004458,21.4453365,42.0006767,21.4451795,42.0008657,21.4448499,42.0011453,21.4445897,42.0012678,21.4441339,42.001305,21.4439265,42.0013744,21.4437652,42.0014747,21.4435411,42.0015929,21.4434344,42.0016315,21.4432975,42.001661,21.4428652,42.0016381,21.4426383,42.001548,21.4423613,42.001335,21.442181,42.0012018,21.442008,42.0010033,21.4419865,42.0009404,21.441991,42.0008228,21.441943,42.0007893,21.4418723,42.0007878,21.4416599,42.0004578",way/16669251,Cкoпje,Skopje,MK,1000,university,,,Универзитет „Св. Кирил и Методиј“,Ss. Cyril and Methodius University,,Q589636,en:Ss. Cyril and Methodius University of Skopje,9,Булевар Гоце Делчев,Boulevard Goce Delcev,fence,+389 2 3293202,+389 2 3293293,http://www.ukim.edu.mk,limited,,,,,,,,,,
,,,Polygon,"21.4058279,42.0052669,21.4056171,42.0044248,21.4062447,42.004338,21.4062562,42.0043839,21.4064556,42.0051802,21.4058279,42.0052669",way/28214330,,,,,university,,,Факултет за драмски уметности,,,,,ББ,Руѓер Бошковиќ,,,,,,,,,,,,,,,,
,,,Polygon,"21.4047026,42.0005818,21.4045408,41.9999215,21.4063786,41.9996734,21.4065244,42.0002701,21.4058793,42.0003571,21.405866,42.000303,21.4055737,42.0003425,21.4055885,42.0004029,21.4053907,42.0004296,21.4054048,42.000487,21.4047026,42.0005818",way/32688305,,,,,university,,,Педагошка Академија,,,,,,,,,,,,,Akademia Pedagogiczna,,,,,,,,,
,,,Polygon,"21.4069574,42.0057211,21.4059795,42.0058499,21.4058722,42.0054208,21.4066027,42.0053196,21.4065678,42.0051817,21.4065639,42.0051661,21.4064556,42.0051802,21.4062562,42.0043839,21.4062447,42.004338,21.4066088,42.0042874,21.4067036,42.0042743,21.4085288,42.0040211,21.408757,42.0039911,21.4089361,42.0039696,21.4090996,42.0039464,21.4105069,42.0037526,21.4106112,42.0042133,21.4105983,42.0042389,21.4105395,42.004265,21.4105429,42.0042909,21.4105443,42.0043016,21.4105997,42.0043106,21.4106474,42.0043337,21.4108037,42.0049991,21.4108433,42.0051612,21.407151,42.0056123,21.4069574,42.0057211",way/35829281,,,,,university,,,Техничко-технолошки кампус,,,,,,,,fence,,,,,,,,,,,,,,
,,,Polygon,"21.4063983,42.0055752,21.406822,42.0055191,21.4068696,42.0057178,21.4064459,42.0057739,21.4063983,42.0055752",way/37626725,Cкoпje,Skopje,MK,1000,university,yes,,Машински Факултет,Faculty of Mechanical Engineering,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4594243,42.0025191,21.4592956,42.0025127,21.4593042,42.0021364,21.4592098,42.0021364,21.4592098,42.0020917,21.4590123,42.0020981,21.4590038,42.0019897,21.4591926,42.0019897,21.459184,42.0019195,21.4592527,42.0019195,21.4592441,42.0017027,21.459184,42.0017027,21.459184,42.0015815,21.45939,42.0015815,21.45939,42.0020343,21.4594501,42.0020343,21.4594469,42.0020947,21.4594243,42.0025191",way/37996998,Cкoпje,Skopje,MK,1000,university,yes,,Шумарски факултет,,,,,,Булевар Александар Македонски,,,,,,,,бб,Св. Кирил и Методиј,,,,,,,
,,,Polygon,"21.4369217,41.988672,21.4369794,41.9885525,21.4379639,41.9888152,21.4379061,41.9889347,21.4369217,41.988672",way/38081117,Cкoпje,Skopje,MK,1000,university,yes,,Економски институт - Скопје,Institute of Economics - Skopje,,,,,,,,,,http://www.ek-inst.ukim.edu.mk/,,,,,,,,,,,
,,,Polygon,"21.4534984,41.9813511,21.4553438,41.9804738,21.4557971,41.9810061,21.4556283,41.9810836,21.4557484,41.9812231,21.4548513,41.9816433,21.4541922,41.9819473,21.4541384,41.9819686,21.4541058,41.9819779,21.4540767,41.9819814,21.4540545,41.9819768,21.4540362,41.9819674,21.4540162,41.9819517,21.4539873,41.9819192,21.4534984,41.9813511",way/43444610,Cкoпje,,MK,1000,university,,,Универзитет Американ Колеџ Скопје,University American College Skopje,,,en:University American College Skopje,60,Булевар 3та Македонска Бригада,Boulevard Treta makedonska brigada,,+389 2 2463156,+389 2 2463156,www.uacs.edu.mk,,,,,info@uacs.edu.mk,,,,,,
,,,Polygon,"21.4254022,41.980015,21.4250042,41.979863,21.4244497,41.9796573,21.4249009,41.9791292,21.4252873,41.9788501,21.4256021,41.9786259,21.4261512,41.9786392,21.4263821,41.9784139,21.4265042,41.9783725,21.4269684,41.9785574,21.4271858,41.978278,21.427427,41.9783714,21.4271197,41.9787702,21.4269732,41.9792797,21.426583,41.9797257,21.4263857,41.9799752,21.42604,41.9800375,21.4254022,41.980015",way/44040587,,,,,university,,,Институт за земјотресно инженерство и инженерска сеизмологија - ИЗИИС,Institute of Earthquake Engineering and Engineering Seismology - IZIIS,,,,,,,,,,,,,,,,,,,,,
