latitude,longitude,altitude,geometry,coordinates,@id,amenity,building,name,type,addr:city,addr:city:en,addr:country,addr:postcode,addr:street,building:levels,int_name,name:en,name:mk,phone,website,healthcare,addr:housenumber,email,emergency,fax,healthcare:speciality,operator,operator:type,wheelchair,opening_hours,addr:street:en,alt_name,contact:phone,name:sq,operator:wikidata,operator:wikipedia,internet_access
,,,Polygon,"21.3623532,42.0097135,21.362354,42.0096012,21.3624953,42.0096017,21.3624969,42.0093552,21.3623555,42.0093547,21.3623562,42.0092472,21.3625715,42.009248,21.3625714,42.0092692,21.3625983,42.0092693,21.3625985,42.0092353,21.3629398,42.0092366,21.3629396,42.0092684,21.3629636,42.0092684,21.3629637,42.0092492,21.3631861,42.00925,21.3631854,42.0093637,21.3630235,42.0093632,21.363022,42.0096027,21.3631824,42.0096033,21.3631817,42.0097164,21.3629604,42.0097156,21.3629606,42.0096813,21.3629367,42.0096812,21.3629366,42.0096954,21.3625954,42.0096942,21.3625955,42.0096828,21.3625708,42.0096827,21.3625706,42.0097143,21.3623532,42.0097135,21.3625942,42.0095759,21.3629227,42.0095774,21.362923,42.0095425,21.3628601,42.0095422,21.3628613,42.0093817,21.3629209,42.0093818,21.3629215,42.0093434,21.3625968,42.0093419,21.362597,42.0093812,21.3626558,42.0093812,21.362654,42.0095414,21.3625945,42.0095411,21.3625942,42.0095759",relation/2963885,hospital,yes,Поликлиника Ѓорче Петров,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4337978,41.9926958,21.4340322,41.9924014,21.4348186,41.9927473,21.4347197,41.9928715,21.4345446,41.9927945,21.4344092,41.9929647,21.4337978,41.9926958,21.4343517,41.9928464,21.4344679,41.9926992,21.4343626,41.9926533,21.4343303,41.9926942,21.43428,41.9926723,21.4342285,41.9927375,21.4342964,41.9927672,21.434264,41.9928082,21.4343517,41.9928464,21.4339508,41.9926676,21.4340205,41.9927054,21.434101,41.9926795,21.4341412,41.9926137,21.4341331,41.9925898,21.4341707,41.9925699,21.4340634,41.992522,21.4339508,41.9926676",relation/4081495,hospital,yes,Градска болница,multipolygon,Cкoпje,Skopje,MK,1000,Даме Груев,3,Gradska Bolnica,City Hospital,Градски клинички центар,+3892 323 5020,http://www.gradskahirurgija.org.mk,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4015802,42.002637,21.4015849,42.0025785,21.4016169,42.0025193,21.4016675,42.0024779,21.4032885,42.0022577,21.4034248,42.0028115,21.4035294,42.0032367,21.4028418,42.0033301,21.401786,42.0034735,21.4015802,42.002637",way/28212175,hospital,,Поликлиника Букурешт,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,
,,,Polygon,"21.4028441,42.0067942,21.4023654,42.0048272,21.4030347,42.004735,21.4031047,42.0050083,21.4048626,42.0047728,21.4052017,42.0060925,21.4044405,42.006196,21.4045454,42.0066493,21.4028441,42.0067942",way/28212201,hospital,,ГОБ „8 Септември“,,Cкoпje,,,1020,Бледски Договор,,,,,+389 2 3087400,http://bolnica.org.mk,hospital,бб,info@bolnica.org.mk,yes,+389 2 3072125,general,Министерство за Здравство,government,yes,,,,,,,,
,,,Polygon,"21.3794137,42.0065762,21.3792951,42.0063157,21.3794442,42.0062782,21.3795628,42.0065387,21.3794137,42.0065762",way/32299002,hospital,yes,Неуромедика,,Cкoпje,Skopje,MK,1000,Влае,,,,,,,,87,,,,,,,,,,,,,,,
,,,Polygon,"21.3746469,42.0165799,21.3748134,42.0169219,21.3748407,42.016991,21.3747982,42.0188282,21.3744188,42.018858,21.3741391,42.0189096,21.3740682,42.0191269,21.3736166,42.0191935,21.372875,42.0199416,21.3730805,42.020073,21.3708912,42.0217976,21.3704133,42.0219502,21.3698201,42.0220858,21.3697311,42.0219288,21.3702648,42.0217958,21.370456,42.0217123,21.3705082,42.0212829,21.3705897,42.0212789,21.370609,42.020977,21.3706785,42.0200966,21.37069,42.0199511,21.3713217,42.0198477,21.3715704,42.0180286,21.3720246,42.0180417,21.3722172,42.0174371,21.3732716,42.0173791,21.373679,42.0172386,21.3735827,42.0169847,21.3746469,42.0165799",way/32658092,hospital,,Психијатриската болница Бардовци,,Cкoпje,,,1000,Пролетерска,,,,,+38923095607,http://pbskopje.org.mk/page/our-contact-info/,hospital,бб,pbskopje@pbskopje.org.mk,,+38923095601,psychiatry,,,,,,,,,,,
,,,Polygon,"21.4177236,41.9879733,21.4207616,41.9871742,21.4239534,41.9872499,21.4245321,41.987278,21.4256959,41.986822,21.4263971,41.9866173,21.4266282,41.9865617,21.426746,41.9869453,21.4268844,41.9872432,21.4266107,41.9873276,21.4268405,41.9879356,21.4248021,41.9890967,21.425561,41.9899845,21.4240304,41.9906489,21.4234288,41.9897857,21.4218409,41.9904556,21.4216092,41.9905753,21.421263,41.9907344,21.4179185,41.9882227,21.4177236,41.9879733",way/32687572,hospital,,Клинички центар - Државна болница,,,,,,Булевар Мајка Тереза,,,,,,,,,,yes,,,,,,24/7,,,,,,,
,,,Polygon,"21.4572203,41.9854975,21.4567593,41.984935,21.456893,41.9848745,21.4569524,41.9849469,21.4573121,41.9847841,21.4572467,41.9847043,21.4573733,41.984647,21.4578328,41.9852078,21.4576935,41.9852709,21.4573996,41.9849121,21.4573014,41.9849566,21.4573988,41.9850755,21.4572438,41.9851457,21.4571495,41.9850306,21.457067,41.985068,21.4573652,41.9854319,21.4572203,41.9854975",way/34159646,hospital,yes,Поликлиника Јане Сандански,,Cкoпje,Skopje,MK,1000,,,Poliklinika Jane Sandaski,Polyclinic Jane Sandaski,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.5037189,41.9955321,21.5036699,41.9954299,21.5038949,41.9953702,21.503944,41.9954724,21.5037189,41.9955321",way/37766954,hospital,yes,Здравствена Станица ''Маџари I'',,,,,,,,Zdravstvena Stanica ''Madžari I'',,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4050218,41.9902796,21.4050626,41.9902805,21.4050641,41.990243,21.4048158,41.9902374,21.4048214,41.9901004,21.4051271,41.9901073,21.4051311,41.9900098,21.4048203,41.9900028,21.4048261,41.9898596,21.4051283,41.9898664,21.4051305,41.9898134,21.4049651,41.9898096,21.4049724,41.9896299,21.4052,41.9896351,21.4051945,41.9897694,21.4055363,41.989777,21.4055306,41.9899172,21.4051798,41.9899093,21.4051761,41.9900002,21.405543,41.9900084,21.4055371,41.9901524,21.4052376,41.9901457,21.4052341,41.9902326,21.4055587,41.9902399,21.4055466,41.9905371,21.4050118,41.9905251,21.4050218,41.9902796",way/37998632,hospital,yes,Институт по белодробни заболувања кај децата - Козле,,Cкoпje,Skopje,MK,1000,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4619958,41.9894355,21.4616036,41.9889425,21.4622807,41.9886448,21.462673,41.9891378,21.4619958,41.9894355",way/38002612,hospital,,Мајчин Дом,,Skopje,,,1000,Булевар Јане Сандански,,Majcin Dom,,,,,,,,no,,,,,,,,,,,,,
,,,Polygon,"21.4048382,41.9948425,21.4050819,41.9948123,21.4051134,41.9949525,21.4048697,41.9949827,21.4048382,41.9948425",way/38082546,hospital,yes,Рес Хумана ординација,,Cкoпje,Skopje,MK,1000,Миле Поп Јорданов,,,,,,,,44,,,,,,,,,Mile Pop Jordanov,,,,,,
,,,Polygon,"21.4036189,42.0147419,21.4034425,42.0137941,21.403403,42.0136387,21.4034526,42.0136053,21.4041822,42.0135281,21.4051464,42.0134534,21.4055922,42.0133702,21.4056037,42.0135929,21.4053411,42.0136569,21.4051382,42.0137001,21.405108,42.0143725,21.4050322,42.0143731,21.4050388,42.014104,21.4049965,42.0140622,21.404916,42.0140363,21.4043197,42.0141886,21.4041812,42.014195,21.404103,42.0142549,21.4041433,42.0146371,21.4040988,42.0147132,21.4036189,42.0147419",way/126355598,hospital,,Клиничка Болница Аџибадем Систина,,,,,,,,,Acibadem Sistina Hospital,,,,,,,,,,,,,,,Систина,,,,,
,,,Polygon,"21.4347725,41.9869818,21.4348208,41.9869077,21.4349449,41.9869525,21.4348966,41.9870266,21.4347725,41.9869818",way/152448287,hospital,,Ординација Срце,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4235348,41.9957907,21.4234684,41.9957828,21.423474,41.9957569,21.4233489,41.995742,21.4233852,41.9955735,21.4235159,41.9955891,21.4235053,41.9956381,21.4235661,41.9956453,21.4235348,41.9957907",way/164191033,hospital,yes,Др. Анчевски,,Cкoпje,Skopje,MK,1000,Митрополит Теодосиј Гологанов,,,,,,,,28,,,,,,,limited,,,,,,,,
,,,Polygon,"21.4657186,42.0050411,21.4657964,42.0047959,21.466306,42.0048936,21.4662256,42.0051208,21.4657186,42.0050411",way/175160544,hospital,office,Амбуланта Авткоманда,,Cкoпje,Skopje,MK,1000,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4590995,42.008351,21.4590569,42.0081651,21.4602201,42.008018,21.4602402,42.0080789,21.4602511,42.0081532,21.4595031,42.0082478,21.4595147,42.0082985,21.4594738,42.0083037,21.4592792,42.0083283,21.4590995,42.008351",way/175293043,hospital,yes,Ремедика,,Cкoпje,Skopje,MK,1000,,,,ReMedica,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4589877,42.0088119,21.4589556,42.0087033,21.4593431,42.0086514,21.4592792,42.0083283,21.4594738,42.0083037,21.4595617,42.0087182,21.4598782,42.0088916,21.4598005,42.0089763,21.4593941,42.0087601,21.4589877,42.0088119",way/175293044,hospital,yes,Поликлиника Железара,,Cкoпje,Skopje,MK,1000,,,,Polyclinic Železara,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4203734,41.9950443,21.4203974,41.995047,21.420914,41.9951046,21.4209021,41.9951633,21.4207618,41.9951477,21.4207468,41.9952224,21.4203702,41.9951804,21.4203467,41.9951778,21.4203236,41.9952927,21.4201545,41.9952739,21.4202046,41.9950255,21.4202483,41.9950304,21.4203734,41.9950443",way/175516639,hospital,yes,Поликлиника Идадија - Млин Балкан,,Cкoпje,Skopje,MK,1000,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,Polygon,"21.4435739,42.0205297,21.4442932,42.0205316,21.4445748,42.0205256,21.4447805,42.0205468,21.4449628,42.0205745,21.4450295,42.0205952,21.4451097,42.0207212,21.4450672,42.0210862,21.4450326,42.0212612,21.4443996,42.0212702,21.4438721,42.0212749,21.4437406,42.0210696,21.4436092,42.0207628,21.4435739,42.0205297",way/175892204,hospital,,Поликлиника Чаир,,,,,,Втора Македонска Бригада,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4392894,42.0111478,21.4393627,42.0103688,21.4399949,42.0104016,21.4399622,42.0108637,21.4400436,42.0108768,21.4400848,42.0109288,21.4401011,42.0109982,21.4400539,42.0109957,21.4399839,42.0112531,21.4397971,42.0112401,21.4398204,42.0109892,21.439507,42.0109674,21.439489,42.0111582,21.4392894,42.0111478",way/175905539,hospital,yes,Гинеколошко акушерска болница-Чаир ''Мајка Тереза''',,Cкoпje,Skopje,MK,1000,Дижонска,,,,,,,,ББ,,,,,,,,,,,+38922600801,,,,
,,,Polygon,"21.4036674,42.014259,21.4036105,42.0138205,21.4036746,42.0138128,21.4039347,42.0137998,21.4039938,42.0137739,21.4043447,42.0137285,21.4041292,42.0139314,21.4040903,42.0139891,21.4040997,42.0142027,21.4040253,42.014247,21.4039744,42.0142506,21.4039812,42.0143032,21.4037451,42.0143201,21.4037366,42.0142541,21.4036674,42.014259",way/176156176,hospital,yes,Acibadem Sistina Hospital,,Cкoпje,Skopje,MK,1000,Скупи,6,,Acibadem Sistina Hospital,,+389 2 3099500,https://www.acibademsistina.mk/,hospital,,callcenter@acibademsistina.mk,,,,Acıbadem,,,,,,,spitali sistina,Q19610384,en:Acıbadem Healthcare Group,
,,,Polygon,"21.4128116,41.9923807,21.412198,41.9917396,21.4133865,41.9908051,21.4143907,41.9906414,21.4147691,41.9913922,21.4147845,41.9916376,21.4147056,41.9918273,21.4135793,41.9921522,21.4134556,41.9922255,21.4128116,41.9923807",way/176173911,hospital,,Завод за физикална медицина и рехабилитација,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4454815,42.0309781,21.445334,42.0304847,21.4459402,42.0304149,21.4460448,42.0309143,21.4454815,42.0309781",way/176293213,hospital,,Амбуланта Бутел,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.503974,42.005654,21.5040846,42.0054433,21.5041815,42.0052586,21.5043183,42.0052982,21.5042383,42.0054507,21.5044851,42.0055222,21.5045436,42.0054107,21.5046805,42.0054504,21.5045249,42.0057468,21.5043894,42.0057075,21.5044307,42.0056287,21.5043788,42.0056146,21.5041905,42.0055591,21.5041187,42.0056959,21.503974,42.005654",way/177404394,hospital,yes,Поликлиника Ченто,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,
,,,Polygon,"21.4414171,41.98789,21.4409756,41.9874155,21.4411253,41.9873245,21.4413301,41.9872329,21.4414511,41.9871532,21.4415152,41.9871324,21.4416355,41.9873102,21.4417629,41.9873198,21.4420179,41.9876245,21.4414171,41.98789",way/179747888,hospital,,Центар за Јавно Здравје - Пролет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.375152,42.0075565,21.3750606,42.0073582,21.3751683,42.0073308,21.3751956,42.00739,21.3753991,42.0073382,21.3753753,42.0072866,21.3754708,42.0072623,21.3755573,42.00745,21.3754589,42.007475,21.3754175,42.0073851,21.3752205,42.0074353,21.3752633,42.0075282,21.375152,42.0075565",way/185377843,hospital,public,Амбуланта Влае,,Cкoпje,Skopje,MK,1000,Петар Чаулев,,,,,,,,56,,ambulance_station,,,,,,,,,,,,,
,,,Polygon,"21.4037146,42.0045207,21.4033904,42.0045673,21.4033077,42.0042499,21.403269,42.0042554,21.4032364,42.0041303,21.4032751,42.0041248,21.4031904,42.0037996,21.4035147,42.003753,21.4037146,42.0045207",way/408840915,hospital,hospital,Клиника Болница Жан Митрев,,Cкoпje,,,1020,Бледски Договор,,,Zan Mitrev Clinic,,+389 2 3091 484,https://zmc.mk/,hospital,8,infosalter@zmc.mk,yes,,cardiology,,,,,,,,,,,
,,,Polygon,"21.4036789,42.0146042,21.4036558,42.0144235,21.4039908,42.0143998,21.4040139,42.0145805,21.4036789,42.0146042",way/422688582,hospital,yes,Болница „Аџибадем Систина“,,Cкoпje,Skopje,MK,1000,Скупи,6,,Acibadem Sistina Hospital,,+389 2 3099500,https://www.acibademsistina.mk/,,,callcenter@acibademsistina.mk,,,,Acibadem,,,,,,,,,,
,,,Polygon,"21.4602031,42.0079246,21.4607984,42.0083948,21.4607445,42.0085267,21.4604371,42.0086936,21.4600599,42.0089221,21.4597491,42.0091164,21.4593563,42.0088996,21.4590248,42.0089273,21.458921,42.0088334,21.4587118,42.0084707,21.4587037,42.0084029,21.4587654,42.0081558,21.4589478,42.0080761,21.4602031,42.0079246",way/474923330,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9988883,21.391876,,Point,,node/446285567,hospital,,Систина,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.006422,21.3825263,,Point,,node/479803481,hospital,,Eye Center VIZIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0374713,21.4252136,,Point,,node/552740011,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9703449,21.442001,,Point,,node/1381604857,hospital,,Болница за зависности,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.986937,21.4346369,,Point,,node/1381606894,hospital,,Адриалаб,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.986065,21.4331367,,Point,,node/1747627317,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0009982,21.4128098,,Point,,node/4125379517,hospital,,Центар за ментално здравје,,Cкoпje,,,1000,Булевар Партизански Одреди,,,Center for mental health,,,,,,,,,,Министерство за здравство,,,,,,,,,,
42.0010726,21.4130411,,Point,,node/4125379518,hospital,,ПЗУ „Д-р Горица“,,Cкoпje,,,1000,Булевар Партизански Одреди,,,"PZU ""D-r Gorica""",,,,,,,,,,,,,,,,,,,,
42.0005964,21.4145316,,Point,,node/4138200603,hospital,,Неуромедика,,,,,,,,,Neuromedika,,,,,,,,,,,,,,,,,,,,
42.0160266,21.5118538,,Point,,node/4281387289,hospital,,Medical Point,,,,,,alija avdovikj 3/2-1,,,,,+38970911013,,,,,,,,,,,Mo-Su 08:00-22:00,,,,,,,wlan
42.0179859,21.3825697,,Point,,node/4512189989,hospital,,Медика Центар,,,,,1000,Skupi22,,,Medica Centar,Медика Центар,+38970206097,,,10,medikacentar@yahoo.com,,,,,,,24/7,,,,,,,wlan
42.0035328,21.4407164,,Point,,node/4776265422,hospital,,ЈЗУ ЗДРАВСТВЕН ДОМ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.9933702,21.4271939,,Point,,node/5130474890,hospital,,Здравствен дом „Железничар“,,,,,,,,,Železničar Health Centre,,,,,,,,,,,,,,,,,,,,
42.0319727,21.4333393,,Point,,node/5600176621,hospital,,,,,,,,,,,bioenergy,,,,,,,,,,,,,,,,,,,,
42.0130459,21.4434522,,Point,,node/5646430122,hospital,,Visar,,,,,,Ќемал Ататурк,,,,,,,,,,,,,,,,,,,,,,,
41.9919437,21.4235554,,Point,,node/7027084885,hospital,,Стоматолошка Ординација,,,,,,,,,Dentist,,,,,,,,,,,,,,,,,,,,
