latitude,longitude,altitude,geometry,coordinates,@id,landuse,leisure,name,name:en,type,barrier,fence_type,int_name,name:de,name:pl,name:tr,tourism,wikidata,wikipedia,addr:city,addr:street,addr:housenumber,addr:postcode,opening_hours
,,,MultiPolygon,"21.4489606,42.0134951,21.4495833,42.0134466,21.4496531,42.0136558,21.4496638,42.0137575,21.4498511,42.0138139,21.4503768,42.013798,21.4504681,42.0143288,21.4508376,42.014356,21.4508011,42.0145393,21.4502695,42.0145473,21.4503209,42.0143553,21.4501935,42.014379,21.4501007,42.0143873,21.4498944,42.0144041,21.4495959,42.0143542,21.4493897,42.014348,21.4492445,42.0147,21.4486391,42.0145566,21.4489391,42.0141646,21.4489606,42.0134951,21.4563698,42.0035048,21.4572565,42.0035678,21.4579078,42.0037006,21.4596244,42.0045724,21.4608614,42.0063478,21.4602676,42.0066878,21.4608754,42.0073148,21.4604891,42.00757,21.4603464,42.0077984,21.460134,42.0078841,21.4591518,42.0080004,21.458632,42.0081176,21.4587822,42.0085322,21.4590037,42.008867,21.4594114,42.008814,21.4596045,42.0089467,21.4594044,42.0092178,21.4589731,42.0094406,21.4586008,42.0098073,21.4581148,42.0103282,21.4576809,42.0107432,21.457793,42.0110668,21.4576497,42.0112263,21.45733,42.0114554,21.4567491,42.0116197,21.4561139,42.0121837,21.4554755,42.0127887,21.4545686,42.0135993,21.4544425,42.0136186,21.4543084,42.0138139,21.4541635,42.0138139,21.4541474,42.0139534,21.4540884,42.0139534,21.4540884,42.0141208,21.4538749,42.0141088,21.4538857,42.0139893,21.4537397,42.0138578,21.4534876,42.0140012,21.4534608,42.0141288,21.453155,42.0141168,21.4531872,42.0139295,21.452978,42.0139215,21.4529512,42.0140212,21.4526669,42.0140212,21.4526508,42.0141567,21.4522441,42.0141328,21.4522495,42.0139853,21.4523407,42.0139853,21.4523514,42.0139215,21.4524855,42.0139175,21.4524952,42.0138139,21.4520231,42.013782,21.4519909,42.0139454,21.451889,42.0139415,21.4518622,42.0140929,21.45152,42.014073,21.451535,42.0140092,21.4512754,42.0140066,21.4512453,42.0139255,21.4513419,42.0132081,21.4510093,42.013224,21.4510157,42.0134552,21.4507523,42.0134393,21.4507367,42.0135429,21.4503339,42.0135429,21.4502802,42.0128653,21.4499476,42.0128892,21.4498833,42.0127457,21.4496611,42.0127411,21.4496252,42.0130208,21.4495029,42.0130566,21.4492446,42.0129809,21.448955,42.012965,21.4490086,42.0126142,21.448768,42.0126142,21.4491221,42.0122316,21.4489466,42.0119821,21.448794,42.0117652,21.4479577,42.012062,21.44777,42.0121457,21.4475983,42.0121975,21.4476332,42.0124028,21.4477566,42.012628,21.4476836,42.012941,21.4474744,42.012949,21.447469,42.0131882,21.4476039,42.0131842,21.4475978,42.0133396,21.4474913,42.0133476,21.4474859,42.0138139,21.4474314,42.0143799,21.4471639,42.0139977,21.4468851,42.0140212,21.4468682,42.0135788,21.4469648,42.0135788,21.446954,42.0131244,21.4468253,42.0131204,21.4470238,42.011267,21.4471525,42.011271,21.4471793,42.0108326,21.4472874,42.0108365,21.4473381,42.0106629,21.4474834,42.0106734,21.4474636,42.0099397,21.4472276,42.0099357,21.4472062,42.0095252,21.4473885,42.0095172,21.4473671,42.0089355,21.4472813,42.0089355,21.447292,42.0085329,21.4473456,42.0083774,21.4474838,42.008372,21.4478284,42.0078114,21.4478928,42.0075643,21.4478933,42.0071616,21.4477833,42.0070055,21.447653,42.006974,21.4475457,42.0069649,21.4475142,42.0069233,21.4476788,42.0068763,21.4477613,42.0068209,21.4478853,42.0066152,21.4479336,42.0064796,21.4479302,42.0063944,21.4479034,42.0063665,21.447939,42.0063142,21.4481026,42.0061647,21.4481428,42.006077,21.4482125,42.0060204,21.448285,42.0059614,21.4485129,42.0058498,21.4487463,42.0058,21.448985,42.0057721,21.4493766,42.0057263,21.4493787,42.0055672,21.4486929,42.0055112,21.4488538,42.0052401,21.4489496,42.0052643,21.4490837,42.0050291,21.4485848,42.0045507,21.4486683,42.0044947,21.4490879,42.0047075,21.4492495,42.0045316,21.4494171,42.0046183,21.4496746,42.0043991,21.449813,42.0044909,21.450269,42.0039727,21.4501518,42.0039228,21.4502477,42.0037613,21.4503378,42.0036274,21.450411,42.0035185,21.4505588,42.0032989,21.4508378,42.0029601,21.4510309,42.0027926,21.4511278,42.0027411,21.4512477,42.0027135,21.4514188,42.0027178,21.4515944,42.0027449,21.4519089,42.0028888,21.451925,42.0028399,21.4518998,42.0024499,21.4518448,42.0024453,21.4510919,42.0023819,21.450903,42.002366,21.4505865,42.0018996,21.4505436,42.0015687,21.4506295,42.0013575,21.4507582,42.0012299,21.451005,42.0011462,21.4512142,42.0011302,21.4514878,42.0011422,21.4516702,42.001186,21.4519111,42.0012718,21.452162,42.0014378,21.4523438,42.0015768,21.4525131,42.0017171,21.4526345,42.0018311,21.4526784,42.001902,21.4527065,42.0019325,21.4527409,42.0019592,21.4527842,42.001977,21.4528322,42.0019736,21.4528931,42.001952,21.4529242,42.0019127,21.4529439,42.0018513,21.4529496,42.0018028,21.4529387,42.0017473,21.4531936,42.001772,21.4531615,42.002091,21.4538549,42.0021461,21.4538236,42.0022475,21.4537933,42.0027085,21.4548624,42.0029582,21.4560852,42.0031384,21.4561602,42.0027153,21.4566093,42.0027599,21.4566582,42.0027728,21.4567038,42.0027798,21.4567722,42.0027828,21.4568633,42.0027835,21.4571576,42.0027894,21.4572283,42.0027908,21.457344,42.0027851,21.4573389,42.002808,21.4572663,42.003127,21.4572829,42.0032406,21.4563694,42.0032311,21.4563698,42.0035048,21.4562094,42.0037046,21.4560687,42.0037212,21.4558863,42.0037889,21.4557469,42.0038607,21.4555915,42.0039885,21.4556237,42.0042954,21.4555285,42.0048115,21.4554162,42.0050534,21.4551838,42.0055032,21.454869,42.0058427,21.4548298,42.0058301,21.454642,42.0060613,21.454583,42.0062207,21.4547332,42.0064201,21.4549424,42.0065476,21.4554092,42.0066313,21.4557166,42.0067037,21.4556826,42.0069494,21.456025,42.0069703,21.456584,42.0070459,21.45735,42.0072055,21.4575673,42.0072258,21.4567545,42.0053838,21.4568307,42.0053797,21.456776,42.0052005,21.4562932,42.0051806,21.4563533,42.0041639,21.456261,42.0040883,21.4562728,42.0038011,21.4562094,42.0037046",relation/6593335,forest,park,Парк-шума Гази Баба,Gazi Baba Forest,multipolygon,,,,,,,,,,,,,,
,,,Polygon,"21.4330677,41.9943916,21.4326838,41.9942353,21.43285,41.9940254,21.4334573,41.99314,21.433565,41.9929791,21.4336175,41.9929405,21.4337193,41.9929239,21.435128,41.993531,21.4351124,41.9935685,21.4350966,41.9936019,21.434919,41.9938425,21.4330677,41.9943916",way/32490228,,park,Парк Жена-борец,Park of The Woman - Freedom-fighter,,,,,,,,,,,,,,,
,,,Polygon,"21.3924367,41.9979326,21.3923971,41.9976549,21.3933322,41.9975255,21.3933935,41.9977658,21.3932784,41.9977828,21.3932908,41.9978537,21.3924926,41.9979595,21.3924584,41.9979506,21.3924367,41.9979326",way/32653265,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4200282,41.994062,21.4199263,41.993759,21.4212005,41.9934928,21.421311,41.9938094,21.4200282,41.994062",way/32653396,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.3994688,41.9970637,21.3993152,41.9970838,21.3986684,41.997174,21.3980048,41.9972666,21.3977908,41.9972965,21.3973836,41.9973533,21.3967516,41.9974415,21.3968882,41.9973415,21.3969552,41.9972808,21.396984,41.9972282,21.397008,41.997151,21.3970056,41.9970786,21.3969972,41.9970245,21.3969897,41.9970007,21.3969738,41.9969502,21.3969513,41.9968952,21.397086,41.9968705,21.3980712,41.9967403,21.3988705,41.9966331,21.398773,41.9961724,21.398823,41.9961174,21.4000939,41.9959436,21.4002146,41.9963786,21.4002567,41.9963596,21.4002961,41.9963168,21.4006326,41.9958178,21.4008315,41.9960458,21.4016485,41.9959475,21.4016499,41.9960147,21.4017037,41.9961202,21.4019685,41.9963653,21.4022173,41.9963667,21.4028476,41.9962599,21.4027531,41.9959698,21.4032493,41.9958648,21.4033082,41.9958878,21.4033647,41.9961364,21.4034126,41.9962917,21.403336,41.9963804,21.4032357,41.9964678,21.4030852,41.9965596,21.4024362,41.9966498,21.4020606,41.996702,21.4004879,41.9969206,21.3998848,41.9970053,21.3997391,41.9970257,21.3996313,41.9970409,21.3994688,41.9970637",way/32674538,,park,,Park Makedonija,,,,,,,,,,,,,,,
,,,Polygon,"21.4233516,41.9890585,21.42221,41.9881653,21.4228907,41.9876887,21.4232627,41.9876484,21.4243815,41.9877953,21.4248021,41.9882163,21.4233516,41.9890585",way/32687896,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.3938371,42.0093103,21.3929373,42.0094744,21.3927645,42.0090098,21.3934234,42.0089086,21.3933603,42.0087095,21.3935446,42.0086773,21.3937376,42.0086435,21.3938185,42.0088988,21.393827,42.0089135,21.3940901,42.008869,21.3942225,42.0090003,21.3942232,42.0090009,21.394403,42.0091419,21.3943076,42.009277,21.3938371,42.0093103",way/32784404,,park,Карпош,,,fence,chain_link,,,,,,,,,,,,
,,,Polygon,"21.4308121,41.9894737,21.4304172,41.9889378,21.4320051,41.9881722,21.4322626,41.9881658,21.432559,41.9883921,21.4327733,41.9885973,21.4324549,41.9887396,21.4308121,41.9894737",way/32912650,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4804282,41.9855089,21.4795339,41.9844721,21.4807226,41.9839056,21.4816169,41.9849424,21.4804282,41.9855089",way/37997021,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4773639,41.9868237,21.4756988,41.9875446,21.47557,41.9874043,21.4754048,41.9872186,21.475364,41.9870917,21.4749864,41.9866706,21.47557,41.9864027,21.4754241,41.9861921,21.4764712,41.9857392,21.4773639,41.9868237",way/37997022,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4629815,41.9911682,21.4614538,41.9909194,21.4608787,41.9902942,21.460338,41.9902559,21.460192,41.9901028,21.4614795,41.9894521,21.4616769,41.9896435,21.4620803,41.9896818,21.4628871,41.9893373,21.4637025,41.9903388,21.463857,41.9907152,21.4629815,41.9911682",way/38003188,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4628356,41.9890757,21.46287,41.989114,21.4619687,41.9895223,21.4617713,41.989433,21.4613129,41.9889661,21.4623183,41.988451,21.4628356,41.9890757",way/38003191,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4708472,41.983723,21.4704562,41.9833574,21.4711113,41.9830219,21.4712456,41.9830819,21.4713688,41.9832057,21.4715167,41.9834303,21.4708472,41.983723",way/147712082,,park,Парк Јане Сандански,,,,,Park Jane Sandanski,,,,,,,,,,,
,,,Polygon,"21.4231869,42.0081125,21.4188281,42.0118598,21.4185348,42.0120588,21.4181609,42.0122552,21.417734,42.0124071,21.4173863,42.0125065,21.4169414,42.0126,21.4164025,42.0126691,21.4159673,42.0126607,21.4155532,42.0126093,21.414988,42.0124885,21.41462,42.012399,21.4142293,42.0122328,21.4138471,42.0120285,21.412944,42.0114997,21.4117681,42.0109704,21.4102576,42.0107663,21.4088155,42.0110023,21.4071505,42.0114868,21.4066393,42.009448,21.4066594,42.0094061,21.4066956,42.0093769,21.4067428,42.009358,21.4068136,42.009352,21.4070939,42.0093828,21.4082067,42.0100055,21.4076515,42.0102076,21.4072776,42.0102718,21.4070418,42.0104842,21.4070715,42.0108178,21.4071681,42.0111273,21.4077777,42.011025,21.4079632,42.0109629,21.4083116,42.0106937,21.4085328,42.0104993,21.4087332,42.0103451,21.4088986,42.0102474,21.4089569,42.0102107,21.4089657,42.0102049,21.4089677,42.0101956,21.4089615,42.0101899,21.4083791,42.0100391,21.4094304,42.0095306,21.409866,42.0094611,21.4101348,42.0094347,21.411622,42.0093156,21.412472,42.0082791,21.4132787,42.0081506,21.4137951,42.008298,21.4140817,42.0083603,21.4142464,42.0083633,21.4144673,42.0082789,21.4148708,42.0080455,21.4152345,42.008691,21.4181851,42.0078633,21.4204095,42.0071199,21.4201285,42.0067398,21.4206542,42.0065385,21.4190956,42.0050731,21.4214596,42.0038219,21.4213647,42.0037213,21.4220445,42.0033812,21.4217518,42.0030668,21.4231904,42.0023757,21.4233118,42.0025022,21.4234932,42.0027008,21.4235245,42.0027351,21.423706,42.0029497,21.423844,42.0032628,21.4239187,42.0033656,21.4240137,42.0034664,21.4241215,42.0035599,21.4242753,42.003669,21.4244458,42.0037765,21.4248143,42.0035739,21.4254298,42.0041534,21.4218316,42.0066165,21.421906,42.0066866,21.4212436,42.007118,21.4211802,42.0071628,21.4215326,42.0074897,21.4213127,42.0076243,21.4211712,42.0076963,21.4211676,42.0079115,21.4212578,42.0080914,21.4213019,42.0082435,21.4210598,42.0083761,21.4210979,42.0084477,21.4211663,42.0085621,21.4212362,42.0086919,21.4214974,42.0087229,21.4217347,42.0087444,21.4221411,42.0084576,21.4231379,42.0080256,21.4231869,42.0081125",way/175476254,,park,Градски парк,City Park,,,,Gradski Park,Stadtpark,Park Miejski,City Park,attraction,Q12905885,mk:Градски парк (Скопје),,,,,
,,,Polygon,"21.4749925,41.9894096,21.4773099,41.9885954,21.477764,41.9891146,21.4782821,41.9897237,21.4785355,41.9900754,21.476926,41.9900496,21.4753129,41.9902867,21.4749925,41.9894096",way/177207730,,park,Паркот на авионот,Airplane Park,,,,,,,,,,,,,,,
,,,Polygon,"21.4284958,42.008671,21.4296242,42.0078452,21.4305646,42.0074945,21.4308044,42.0074227,21.4310652,42.0074412,21.4313784,42.0075562,21.4314159,42.0076299,21.429415,42.0093041,21.4284958,42.008671",way/177692881,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4655903,41.9776422,21.4657899,41.9775314,21.4661265,41.9779754,21.4662079,41.9780964,21.4661866,41.9781094,21.4659901,41.9779552,21.4657121,41.9777549,21.4655903,41.9776422",way/187547581,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4942278,41.9986767,21.4935968,41.9989058,21.4936678,41.9990098,21.493534,41.9990582,21.4932744,41.998659,21.4934246,41.9986061,21.4934887,41.9987121,21.4941084,41.9984953,21.4942278,41.9986767",way/227935754,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4915491,41.9989136,21.491431,41.9987292,21.4917207,41.9986267,21.4918389,41.998811,21.4915491,41.9989136",way/228743208,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4921617,41.9989318,21.4920689,41.9987891,21.4922495,41.9987243,21.4923423,41.9988669,21.4921617,41.9989318",way/228743588,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.5017876,42.0061204,21.5021735,42.0056396,21.5030556,42.0061681,21.5031045,42.0063027,21.5029677,42.0065708,21.5017876,42.0061204",way/228746642,,park,Методија Андонов - Ченто,,,,,,,,,,,,Скопје,Методија Андонов Ченто,,,
,,,Polygon,"21.4935482,41.9982727,21.4935,41.9981921,21.493776,41.9980908,21.4936794,41.9979455,21.4938995,41.9978626,21.4940054,41.9980312,21.4941507,41.9979819,21.4941922,41.9980443,21.4935482,41.9982727",way/228747916,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4873484,41.9875751,21.4866188,41.9875352,21.4853313,41.9865144,21.485224,41.9862194,21.4846769,41.9856532,21.4841404,41.9855335,21.4839495,41.9853359,21.4841308,41.9852221,21.4843104,41.9851553,21.4863221,41.9841463,21.489198,41.9862489,21.488668,41.9868653,21.4882067,41.9872401,21.4873484,41.9875751",way/231098674,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4776125,41.9817531,21.4784382,41.9813592,21.4790668,41.9820692,21.4781979,41.9824311,21.4776125,41.9817531",way/284497904,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.473742,41.9836974,21.4745823,41.9833407,21.475107,41.9840237,21.4742666,41.9843804,21.473742,41.9836974",way/284497905,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4715538,41.9879704,21.4722157,41.9886834,21.4707272,41.9893349,21.4705801,41.9891454,21.470196,41.9886504,21.4715538,41.9879704",way/284497906,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.467437,41.9904801,21.4660708,41.9910851,21.4655621,41.9906055,21.4669231,41.9898769,21.467437,41.9904801",way/284497907,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4734819,41.979723,21.473257,41.9794354,21.4729511,41.9790442,21.4739704,41.9785496,21.4745295,41.9792547,21.4734819,41.979723",way/284497935,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4748851,41.9786647,21.4747659,41.9784847,21.4746813,41.9782619,21.4756738,41.9778929,21.4757867,41.977855,21.4759008,41.9779217,21.4760529,41.9778372,21.4762224,41.9781126,21.4755451,41.9784144,21.4748851,41.9786647",way/284497936,,park,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4474743,41.9873051,21.4476245,41.9871097,21.4490378,41.9864443,21.4491959,41.9866446,21.447756,41.9873031,21.4474743,41.9873051",way/284663569,,park,,,,,,,,,,,,,,,,,
