latitude,longitude,altitude,geometry,coordinates,@id,addr:city,addr:city:en,addr:country,addr:postcode,addr:street,amenity,building,building:levels,name,office,addr:housenumber,contact:phone,cuisine,designation,email,internet_access,name:en,operator,phone,website,wheelchair,addr:housename,alt_name,int_name,addr:street:en,layer,outdoor_seating,smoking,payment:american_express,payment:coins,payment:diners_club,payment:maestro,payment:mastercard,payment:notes,payment:visa,fax,takeaway,roof:shape,tourism,name:nl,name:tr,shop,delivery,capacity,is_in,old_name,name:mk,leisure,microbrewery,nam:en,wheelchair:description,level,sells:ice_cream,opening_hours:covid19,internet_access:fee,payment:visa_electron,description,addr:housename:en,payment:debit_cards,kitchen,air_conditioning,image,reservation,start_date,diet:vegan,phone:1,phone:2,payment:cash,payment:credit_cards,diet:sugar_free,diet:vegetarian,changing_table,changing_table:fee,toilets,toilets:access,toilets:wheelchair,entrance,opening_hours
,,,Polygon,"21.4190018,41.9922233,21.419025,41.9923634,21.41926,41.9923419,21.4192836,41.992484,21.4188602,41.9925227,21.4188135,41.9922405,21.4190018,41.9922233",way/32674255,Cкoпje,Skopje,MK,1000,Васил Ѓоргов,restaurant,office,1,Конструкта,insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4020038,41.9962057,21.4018717,41.9960959,21.4023532,41.995806,21.4024979,41.99594,21.4020038,41.9962057",way/32674402,Cкoпje,Skopje,MK,1000,Митрополит Теодосиј Гологанов,restaurant,yes,,Македонска куќа,,63,+389 2 329 6415,burger;regional;ice_cream;grill;crepe;coffee_shop;balkan;pancake;chicken;diner;fish;breakfast;tea;sausage;local;fine_dining;kebab;barbecue,National restaurant,contact@makedonskakuka.com,wlan,Macedonian House Restaurant,Kiro Ilijeski -Kambero,+389 2 329 6415,http://www.makedonskakuka.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mo-Su 08:00-00:00
,,,Polygon,"21.4234118,41.9953699,21.4234452,41.9952188,21.4240658,41.9952947,21.4240324,41.9954458,21.4234118,41.9953699",way/121390892,Cкoпje,Skopje,MK,1000,Митрополит Теодосиј Гологанов,restaurant,yes,,Ресторан 2 Златника,insurance,28,,,,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4226694,41.9974288,21.4225373,41.9973872,21.4225327,41.9972628,21.4226709,41.99725,21.4227885,41.9973257,21.4226694,41.9974288",way/121511379,Cкoпje,Skopje,MK,1000,Дебарца,restaurant,yes,,Керпич,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4220069,41.9962498,21.4220195,41.9961443,21.4221801,41.9961549,21.4221676,41.9962603,21.4220069,41.9962498",way/121511400,Cкoпje,Skopje,MK,1000,Киро Крстевски Платник,restaurant,yes,,Дане,,2,,regional,,,,Dane,,,,,Дане,Дане,Dane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4221287,41.9951717,21.4221538,41.9950446,21.4222794,41.9950583,21.4222544,41.9951854,21.4221287,41.9951717",way/121511815,Cкoпje,Skopje,MK,1000,Митрополит Теодосиј Гологанов,restaurant,yes,,Ка,,32b,,grill;local,,,wlan,,,+38923214350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4181553,41.995565,21.4182558,41.9953541,21.4184154,41.9954035,21.4183242,41.9956069,21.4181553,41.995565",way/121511817,Cкoпje,Skopje,MK,1000,,restaurant,yes,,Ѓезме,,,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4229605,41.9990612,21.4228854,41.9990057,21.4229703,41.9989335,21.4230666,41.9989973,21.4229605,41.9990612",way/122862785,Cкoпje,Skopje,MK,1000,Аминта Трети,restaurant,yes,,Мечос,,,,pizza,,,,,,,,,,,,Aminta Treti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.3745485,41.9772513,21.3743389,41.9772529,21.3742398,41.9771433,21.374189,41.9771645,21.3740621,41.9770083,21.3741008,41.9769896,21.3739354,41.9768067,21.3740949,41.9767452,21.3741699,41.9768381,21.3741295,41.9768581,21.3742083,41.976976,21.3743853,41.9771612,21.3744551,41.9771648,21.3746672,41.977059,21.3747443,41.9771503,21.3745485,41.9772513",way/123273654,Cкoпje,Skopje,MK,1000,,restaurant,yes,,Св.Пантелејмон - Клет,,,,regional,,,,St. Pantlejmon - Klet,,,,,,,Sv. Pantelejmon - Klet,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4621012,42.0031572,21.4621726,42.002936,21.4623737,42.0029718,21.4623023,42.003193,21.4621012,42.0031572",way/175441983,Cкoпje,Skopje,MK,1000,Трифун Хаџијанев,restaurant,yes,,Боними,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.45981,41.9980491,21.4598183,41.9978812,21.4597742,41.99788,21.4597777,41.9978096,21.460026,41.9978164,21.4600231,41.9978765,21.4599782,41.9978753,21.4599694,41.9980535,21.45981,41.9980491",way/175463419,Cкoпje,Skopje,MK,1000,,restaurant,yes,,Дојрана,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4252373,41.9990018,21.4254625,41.9988748,21.4256593,41.9990674,21.4255137,41.9991496,21.4254909,41.9991273,21.4254274,41.9991631,21.4253886,41.9991252,21.4254416,41.9990953,21.4253723,41.9990275,21.4253032,41.9990664,21.4252373,41.9990018",way/176133887,Cкoпje,Skopje,MK,1000,,restaurant,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.423802,41.9996257,21.4239225,41.9995543,21.4241357,41.9997532,21.4240152,41.9998245,21.423802,41.9996257",way/176147491,Cкoпje,Skopje,MK,1000,Аминта Трети,restaurant,apartments,,Sushi Ко,,29,,chinese;thai;japanese;sushi,,,,Sushico,,+389 2 3217874,http://www.sushico.mk,,,,,Leninova,1,yes,separated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Su-Th 12:00-23:00; Fr-Sa 10:00-00:00
,,,Polygon,"21.4105926,42.0061249,21.4105391,42.0059212,21.4107236,42.0058944,21.4107525,42.0060038,21.4109047,42.0059816,21.4109299,42.0060759,21.4105926,42.0061249",way/176154876,Cкoпje,Skopje,MK,1000,Никола Тесла,restaurant,commercial,,Лира,,11,,regional,,gostilnica_lira@t-home.mk,wlan,Lyre,,+389 2 3061726,http://www.lyra.com.mk/,,,,Lira,Nikola Tesla,,yes,separated,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09:00-24:00, Fr-Sa 09:00-01:00"
,,,Polygon,"21.4382846,41.9969391,21.4383675,41.9966936,21.4385862,41.9967344,21.4385033,41.9969799,21.4382846,41.9969391",way/176159879,Cкoпje,Skopje,MK,1000,Пајко Маало,restaurant,yes,,Стара куќа,,14,,regional,,,,Old House Restaurant,,+389 2 3131376,http://starakuka.com.mk/,yes,,,Restoran Stara Kuka,,,yes,separated,,,,,,,,+389 2 3119668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4094559,42.00968,21.4094555,42.0095599,21.409673,42.0095594,21.4097266,42.0095593,21.4098716,42.009559,21.4098714,42.009521,21.4099925,42.0095208,21.4099932,42.0096931,21.4098531,42.0096934,21.4098536,42.0098097,21.4096635,42.0098101,21.4096631,42.0097011,21.4096275,42.0097012,21.4096274,42.0096796,21.4094559,42.00968",way/176328169,Cкoпje,Skopje,MK,1000,,restaurant,commercial,,Балканика,,,,regional,,,,,,,,,,,Balkanika,,,,separated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4220261,42.0062388,21.4218801,42.006091,21.4219936,42.0060292,21.4221396,42.006177,21.4220261,42.0062388",way/176331794,Cкoпje,Skopje,MK,1000,,restaurant,yes,,Уранија,,,,,,,,,,,,,,,Uranija,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Polygon,"21.4271856,41.9957589,21.4271741,41.9956796,21.4273166,41.9956682,21.427328,41.9957475,21.4271856,41.9957589",way/176448667,Cкoпje,Skopje,MK,1000,,restaurant,yes,,Ѕвезден Океан,,,,chinese,,,,Star Ocean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
